State Agency ID [District] 2017-18,Agency Name,State Name [District] Latest available year,Total Number of Public Schools [Public School] 2017-18,Total Number Operational Charter Schools [Public School] 2017-18,Total Number Operational Schools [Public School] 2017-18,County Name [District] 2017-18,County Number [District] 2017-18,Agency ID - NCES Assigned [District] Latest available year,Lowest Grade Offered [District] 2017-18,Highest Grade Offered [District] 2017-18,Fall Membership (V33) [District Finance] 2017-18,Total General Revenue (TOTALREV) [District Finance] 2017-18,Total Revenue - Local Sources (TLOCREV) [District Finance] 2017-18,Total Revenue - State Sources (TSTREV) [District Finance] 2017-18,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2017-18,Total Current Expenditures - El-Sec Education (TCURELSC) [District Finance] 2017-18,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2017-18,Total Current Expenditures - Support Services (TCURSSVC) [District Finance] 2017-18,Total Current Expenditures - Other El-Sec Programs (TCUROTH) [District Finance] 2017-18,Total Current Expenditures - Salary (Z32) [District Finance] 2017-18,Total Current Expenditures - Benefits (Z34) [District Finance] 2017-18,Total Expenditures (TOTALEXP) [District Finance] 2017-18,Total Expenditures - Capital Outlay (TCAPOUT) [District Finance] 2017-18,Total Current Expenditures - Non El-Sec Programs (TNONELSE) [District Finance] 2017-18,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2017-18,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2017-18,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2017-18,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2017-18,Total Current Expenditures - Instruction (TCURINST) per Pupil (V33) [District Finance] 2017-18,Total Current Expenditures - Support Services (TCURSSVC) per Pupil (V33) [District Finance] 2017-18,Total Current Expenditures - Other El-Sec Programs (TCUROTH) per Pupil (V33) [District Finance] 2017-18,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2017-18,Total Current Expenditures - Benefits (Z34) per Pupil (V33) [District Finance] 2017-18,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2017-18,Total Expenditures - Capital Outlay (TCAPOUT) per Pupil (V33) [District Finance] 2017-18,Total Current Expenditures - Non El-Sec Programs (TNONELSE) per Pupil (V33) [District Finance] 2017-18,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2017-18,Instructional Expenditures (E13) per Pupil (V33) [District Finance] 2017-18,Total Current Expenditures - Benefits (Z34) as Percentage of Curr El-Sec (TCURELSC) [District Finance] 2017-18,Total Current Expenditures - Instruction (TCURINST) as Percentage of Curr El-SEC (TCURELSC) [District Finance] 2017-18,Total Current Expenditures - Other El-Sec Prog (TCUROTH) as Percentage of Curr El-Sec (TCURELSC) [District Finance] 2017-18,Total Current Expenditures - Salary (Z32) as Percentage of Curr El-Sec (TCURELSC) [District Finance] 2017-18,Total Current Expenditures - Support Services (TCURSSVC) as Percentage of Curr El-Sec (TCURELSC) [District Finance] 2017-18,Total Revenue - Federal Sources (TFEDREV) as Percentage of Total Revenue (TOTALREV) [District Finance] 2017-18,Total Revenue - Local Sources (TLOCREV) as Percentage of Total Revenue (TOTALREV) [District Finance] 2017-18,Total Revenue - State Sources (TSTREV) as Percentage of Total Revenue (TOTALREV) [District Finance] 2017-18,Long Term Debt - Issued During FY (_21F) [District Finance] 2017-18,Long Term Debt - Outstanding Beginning of FY (_19H) [District Finance] 2017-18,Long Term Debt - Retired During FY (_31F) [District Finance] 2017-18,Long Term Debt - Outstanding at End of FY (_41F) [District Finance] 2017-18,Short Term Debt - Outstanding Beginning of FY (_61V) [District Finance] 2017-18,Short Term Debt - Outstanding at End of FY (_66V) [District Finance] 2017-18,Debt Service Funds (W01) [District Finance] 2017-18,Bond Funds (W31) [District Finance] 2017-18,Other Funds (W61) [District Finance] 2017-18,Local Rev. - Property Taxes (T06) [District Finance] 2017-18,Local Rev. - General Sales Taxes (T09) [District Finance] 2017-18,Local Rev. - Public Utility Taxes (T15) [District Finance] 2017-18,Local Rev. - Individual & Corp. Income Taxes (T40) [District Finance] 2017-18,Local Rev. - All Other Taxes (T99) [District Finance] 2017-18,Local Rev. - Parent Government Contributions (T02) [District Finance] 2017-18,Local Rev. - Revenue- Cities and Counties (D23) [District Finance] 2017-18,Local Rev. - Revenue- Other School Systems (D11) [District Finance] 2017-18,Local Rev. - Tuition Fees- Pupils and Parents (A07) [District Finance] 2017-18,Local Rev. - Transp. Fees- Pupils and Parents (A08) [District Finance] 2017-18,Local Rev. - School Lunch Revenues (A09) [District Finance] 2017-18,Local Rev. - Textbook Sales and Rentals (A11) [District Finance] 2017-18,Local Rev. - Student Activity Receipts (A13) [District Finance] 2017-18,Local Rev. - Other Sales and Service Rev. (A20) [District Finance] 2017-18,"Local Rev. - Student Fees, Non-Specified (A15) [District Finance] 2017-18",Local Rev. - Interest Earnings (U22) [District Finance] 2017-18,Local Rev. - Miscellaneous Other Local Rev. (U97) [District Finance] 2017-18,Local Rev. - Special Processing (C24) [District Finance] 2017-18,Local Rev. - Rents and Royalties (A40) [District Finance] 2017-18,Local Rev. - Sale of Property (U11) [District Finance] 2017-18,Local Rev. - Fines and Forfeits (U30) [District Finance] 2017-18,Local Rev. - Private Contributions (U50) [District Finance] 2017-18,State Rev. - General Formula Assistance (C01) [District Finance] 2017-18,State Rev. - Special Education Programs (C05) [District Finance] 2017-18,State Rev. - Transportation Programs (C12) [District Finance] 2017-18,State Rev. - Staff Improvement Programs (C04) [District Finance] 2017-18,State Rev. - Compensat. and Basic Skills Prog. (C06) [District Finance] 2017-18,State Rev. - Vocational Education Programs (C09) [District Finance] 2017-18,State Rev. - Capital Outlay and Debt Serv. Prog. (C11) [District Finance] 2017-18,State Rev. - Bilingual Education Programs (C07) [District Finance] 2017-18,State Rev. - School Lunch Programs (C10) [District Finance] 2017-18,State Rev. - Gifted and Talented Programs (C08) [District Finance] 2017-18,State Rev. - All Other Rev.- State Sources (C13) [District Finance] 2017-18,State Rev. - State Payment for LEA Empl. Benefits (C38) [District Finance] 2017-18,State Rev. - Other State Payments (C39) [District Finance] 2017-18,State Rev. - Non-Specified (C35) [District Finance] 2017-18,Federal Rev. - Federal Title I Revenue (C14) [District Finance] 2017-18,Federal Rev. - Children with Disabilities (C15) [District Finance] 2017-18,Federal Rev. - Child Nutrition Act (C25) [District Finance] 2017-18,Federal Rev. - Eisenhower Math and Science (C16) [District Finance] 2017-18,Federal Rev. - Drug-Free Schools (C17) [District Finance] 2017-18,Federal Rev. - Vocational Education (C19) [District Finance] 2017-18,Federal Rev. - All Other Fed. Aid Through State (C20) [District Finance] 2017-18,Federal Rev. - Nonspecified (C36) [District Finance] 2017-18,Federal Rev. - Impact Aid (PL 815 and 874) (B10) [District Finance] 2017-18,Federal Rev. - Bilingual Education (B11) [District Finance] 2017-18,Federal Rev. - Native American (Ind.) Educ. (B12) [District Finance] 2017-18,Federal Rev. - All Other Federal Aid (B13) [District Finance] 2017-18,Enterprise Operations - Non Instructional (V60) [District Finance] 2017-18,Food Services - Non Instuctional (E11) [District Finance] 2017-18,Instruction Expenditures - Total (E13) [District Finance] 2017-18,Non-Specified - Supp. Serv. Exp. (V85) [District Finance] 2017-18,Other Non Instructional (V65) [District Finance] 2017-18,Total - Gen. Admin.- Supp. Serv. Exp. (E08) [District Finance] 2017-18,Total - Instruct. Staff- Supp. Serv. Exp. (E07) [District Finance] 2017-18,Total - Ops. & Mainten.- Supp. Serv. Exp. (V40) [District Finance] 2017-18,Total - Other Supp. Serv.- Supp. Serv. Exp. (V90) [District Finance] 2017-18,Total - School Admin.- Supp. Serv. Exp. (E09) [District Finance] 2017-18,Total - Student Transp.- Supp. Serv. Exp. (V45) [District Finance] 2017-18,Total - Students- Supp. Serv. Exp. (E17) [District Finance] 2017-18,Salary - Instruction Expenditures (Z33) [District Finance] 2017-18,Salary - Students- Supp. Serv. Exp. (V11) [District Finance] 2017-18,Salary - Instruct. Staff- Supp. Serv. Exp. (V13) [District Finance] 2017-18,Salary - General Admin.- Supp. Serv. Exp. (V15) [District Finance] 2017-18,Salary - School Admin.- Supp. Serv. Exp. (V17) [District Finance] 2017-18,Salary - Ops. & Mainten.- Supp. Serv. Exp. (V21) [District Finance] 2017-18,Salary - Student Transp.- Supp. Serv. Exp. (V23) [District Finance] 2017-18,Salary - Other Supp. Serv.- Supp. Serv. Exp. (V37) [District Finance] 2017-18,Salary - Food Services- Non-Instruction (V29) [District Finance] 2017-18,Employee Benefits - Instruction Expend. (V10) [District Finance] 2017-18,Empl. Benefits - Students- Supp. Serv. Exp. (V12) [District Finance] 2017-18,Empl. Benefits - Instruction- Supp. Serv. Exp. (V14) [District Finance] 2017-18,Empl. Benefits - Gen. Adm.- Supp. Serv. Exp. (V16) [District Finance] 2017-18,Empl. Benefits - Sch. Adm.- Supp. Serv. Exp. (V18) [District Finance] 2017-18,Empl. Benefits - Ops. & Maint.- Supp. Serv. Exp. (V22) [District Finance] 2017-18,Empl. Benefits - Student Trans.- Supp. Serv. Exp. (V24) [District Finance] 2017-18,Empl. Benefits - Other Supp Serv- Supp. Serv. Exp. (V38) [District Finance] 2017-18,Empl. Benefits - Food Services- Non-Instruction (V30) [District Finance] 2017-18,Empl. Benefits - Enterp. Oper.- Non-Instruction (V32) [District Finance] 2017-18,Current Spending - Private Schools (V91) [District Finance] 2017-18,Current Spending - Public Charter Schools (V92) [District Finance] 2017-18,Teacher Salaries - Regular Education Programs (Z35) [District Finance] 2017-18,Teacher Salaries - Special Education Programs (Z36) [District Finance] 2017-18,Teacher Salaries - Vocational Education Programs (Z37) [District Finance] 2017-18,Teacher Salaries - Other Education Programs (Z38) [District Finance] 2017-18,Textbooks for Instruction (V93) [District Finance] 2017-18,Payments to Other School Systems (Q11) [District Finance] 2017-18,Interest on School System Indebtedness (I86) [District Finance] 2017-18,Payments to State Governments (L12) [District Finance] 2017-18,Payments to Local Governments (M12) [District Finance] 2017-18,Land & Existing Structures - Capital Outlay (G15) [District Finance] 2017-18,Non-specified - Equipment Expenditures (K11) [District Finance] 2017-18,Instructional Equipment - Capital Outlay (K09) [District Finance] 2017-18,Construction - Capital Outlay (F12) [District Finance] 2017-18,Other Equipment - Capital Outlay (K10) [District Finance] 2017-18,Other Expenditures - Non El-Sec (V80) [District Finance] 2017-18,Adult Education - Non El-Sec (V75) [District Finance] 2017-18,Community Services - Non El-Sec (V70) [District Finance] 2017-18
601,APPLING COUNTY,Georgia,6,0,6,Appling County,13001,1300060,Prekindergarten,12th Grade,3639,44804000,19435000,20536000,4833000,38235000,23168000,11763000,3304000,21813000,8266000,39558000,1323000,0,12312,5341,5643,1328,6367,3232,908,5994,2272,10871,364,0,10507,6367,21.6,60.6,8.6,57,30.8,10.8,43.4,45.8,0,0,0,0,0,0,0,6591000,12722000,13311000,3717000,0,0,0,NA,826000,0,0,0,57000,0,888000,0,0,70000,560000,0,6000,0,0,0,10737000,3658000,667000,70000,2071000,676000,172000,403000,50000,532000,1408000,92000,0,0,1445000,610000,2425000,136000,0,42000,131000,3000,0,41000,0,0,906000,2398000,23168000,0,0,680000,2135000,2403000,1006000,1693000,1990000,1856000,15497000,1370000,1455000,237000,1203000,328000,870000,275000,579000,6020000,259000,431000,75000,448000,133000,460000,102000,338000,0,0,0,9580000,2475000,868000,702000,38000,0,0,0,0,0,0,0,949000,374000,0,0,0
602,ATKINSON COUNTY,Georgia,4,0,4,Atkinson County,13003,1300090,Prekindergarten,12th Grade,1699,19134000,3355000,13253000,2526000,18202000,11194000,5793000,1215000,9992000,4369000,18708000,470000,0,11262,1975,7800,1487,6589,3410,715,5881,2572,11011,277,0,10713,6589,24,61.5,6.7,54.9,31.8,13.2,17.5,69.3,0,815000,405000,410000,0,0,418000,3575000,5660000,1973000,689000,0,0,0,NA,231000,0,0,0,59000,0,163000,0,0,62000,178000,0,0,0,0,0,7470000,1731000,254000,39000,2039000,451000,170000,350000,31000,108000,575000,35000,0,0,981000,402000,961000,77000,0,20000,60000,0,0,25000,0,0,0,1215000,11194000,0,0,401000,955000,1200000,421000,1247000,877000,692000,6973000,473000,610000,185000,722000,173000,396000,163000,297000,3207000,103000,219000,64000,297000,75000,157000,71000,174000,0,0,0,4806000,966000,284000,275000,157000,24000,12000,0,0,22000,0,0,237000,211000,0,0,0
761,ATLANTA PUBLIC SCHOOLS,Georgia,89,17,89,Fulton County,13121,1300120,Prekindergarten,12th Grade,52147,1069553000,783752000,211200000,74601000,855327000,465303000,361479000,28545000,445495000,195541000,901240000,38477000,1021000,20510,15030,4050,1431,8923,6932,547,8543,3750,17283,738,20,16402,8923,22.9,54.4,3.3,52.1,42.3,7,73.3,19.7,0,80353000,978000,79374000,60000000,0,0,101013000,146595000,504642000,109649000,0,0,0,NA,17996000,0,17000,273000,1361000,0,6345000,30000,0,1342000,136573000,0,1252000,596000,0,3676000,132399000,24681000,3095000,711000,27506000,3226000,0,2375000,639000,7933000,8497000,138000,0,0,30704000,9687000,26116000,1951000,0,639000,2645000,1421000,0,277000,0,1161000,0,28545000,465303000,0,0,12720000,62873000,92314000,38890000,54364000,34230000,66088000,268349000,37199000,36773000,2802000,40383000,23635000,14898000,17525000,3483000,138194000,8560000,10809000,827000,12368000,10588000,7324000,5322000,1433000,0,1672000,371000,186871000,38762000,4562000,18810000,6700000,0,4372000,0,0,2024000,0,330000,27670000,8453000,0,1021000,0
603,BACON COUNTY,Georgia,4,0,4,Bacon County,13005,1300150,Prekindergarten,12th Grade,2140,25036000,6109000,15999000,2928000,22606000,13396000,7760000,1450000,12794000,4853000,23166000,292000,0,11699,2855,7476,1368,6260,3626,678,5979,2268,10825,136,0,10564,6260,21.5,59.3,6.4,56.6,34.3,11.7,24.4,63.9,0,17195000,0,17195000,0,0,3906000,967000,3894000,3527000,1323000,0,0,0,NA,340000,0,0,0,220000,0,497000,0,0,115000,87000,0,0,0,0,0,8969000,2774000,302000,49000,1804000,567000,0,134000,33000,519000,812000,36000,0,0,902000,513000,1080000,108000,0,34000,274000,0,0,17000,0,0,0,1450000,13396000,0,0,486000,1433000,1642000,362000,1214000,1064000,1559000,8847000,759000,847000,290000,856000,201000,473000,187000,333000,3386000,173000,269000,85000,284000,74000,263000,81000,238000,0,0,0,5308000,1590000,414000,572000,7000,0,268000,0,0,32000,0,0,0,260000,0,0,0
604,BAKER COUNTY,Georgia,2,0,2,Baker County,13007,1300180,Prekindergarten,12th Grade,286,5203000,2765000,2038000,400000,4726000,2449000,2047000,230000,2358000,1071000,5225000,499000,0,18192,9668,7126,1399,8563,7157,804,8245,3745,18269,1745,0,16524,8563,22.7,51.8,4.9,49.9,43.3,7.7,53.1,39.2,0,290000,0,290000,0,0,0,41000,3210000,1954000,156000,0,0,0,NA,429000,0,0,0,18000,0,4000,0,0,0,175000,0,0,29000,0,0,1401000,231000,113000,5000,112000,37000,0,0,6000,0,117000,16000,0,0,146000,0,220000,20000,0,8000,6000,0,0,0,0,0,22000,208000,2449000,0,0,312000,166000,529000,231000,263000,347000,199000,1360000,113000,97000,137000,163000,107000,156000,139000,86000,680000,33000,24000,30000,89000,42000,73000,72000,27000,0,0,0,760000,272000,77000,48000,38000,0,0,0,0,0,0,0,403000,96000,0,0,0
605,BALDWIN COUNTY,Georgia,6,0,6,Baldwin County,13009,1300210,Prekindergarten,12th Grade,5219,63266000,26231000,27276000,9759000,54541000,31678000,18275000,4588000,29515000,13078000,59280000,4232000,85000,12122,5026,5226,1870,6070,3502,879,5655,2506,11358,811,16,10450,6070,24,58.1,8.4,54.1,33.5,15.4,41.5,43.1,0,8965000,0,8965000,0,0,0,12911000,25760000,15921000,6914000,0,0,0,NA,1360000,0,16000,0,124000,0,721000,161000,0,342000,410000,0,0,262000,0,0,15981000,3168000,819000,92000,3024000,684000,0,46000,104000,968000,2261000,129000,0,0,2730000,1505000,3179000,252000,0,74000,416000,0,0,0,0,1603000,196000,4392000,31678000,0,0,1081000,3329000,3081000,1403000,2884000,3070000,3427000,19649000,2201000,1851000,493000,1881000,432000,1274000,611000,1045000,8785000,661000,666000,176000,734000,142000,799000,392000,718000,0,0,0,12653000,3167000,485000,1165000,300000,0,422000,0,0,0,0,132000,2831000,1269000,0,0,85000
606,BANKS COUNTY,Georgia,4,0,4,Banks County,13011,1300240,Prekindergarten,12th Grade,2792,33271000,11947000,18709000,2615000,29552000,18674000,9117000,1761000,17644000,7795000,33670000,3687000,0,11917,4279,6701,937,6688,3265,631,6319,2792,12059,1321,0,10585,6688,26.4,63.2,6,59.7,30.9,7.9,35.9,56.2,0,12060000,2285000,9775000,0,0,2227000,5865000,5892000,7349000,3036000,0,0,0,NA,607000,0,0,0,320000,0,277000,7000,0,105000,138000,0,108000,0,0,0,10566000,3672000,438000,60000,1614000,669000,0,107000,40000,458000,998000,87000,0,0,721000,443000,1081000,87000,0,39000,142000,100000,0,1000,0,1000,100000,1661000,18674000,0,0,518000,1563000,2118000,357000,1671000,1882000,1008000,12340000,751000,1042000,236000,1005000,732000,862000,196000,480000,5473000,146000,375000,86000,456000,349000,501000,81000,329000,0,0,0,7155000,2411000,860000,873000,71000,44000,387000,0,0,1185000,0,0,2016000,486000,0,0,0
607,BARROW COUNTY,Georgia,16,0,16,Barrow County,13013,1300290,Prekindergarten,12th Grade,13802,154832000,56895000,85421000,12516000,138294000,84138000,42605000,11551000,77627000,34232000,144569000,3170000,0,11218,4122,6189,907,6096,3087,837,5624,2480,10474,230,0,10020,6096,24.8,60.8,8.4,56.1,30.8,8.1,36.7,55.2,10825000,74260000,5025000,80060000,0,0,4571000,25026000,28250000,33602000,12029000,0,0,0,NA,3134000,0,0,0,1152000,0,3064000,473000,0,511000,1213000,0,66000,267000,0,1384000,52419000,12480000,1083000,285000,6205000,2698000,1393000,2147000,190000,3833000,2455000,233000,0,0,2892000,2459000,6246000,286000,0,120000,266000,0,0,108000,0,139000,3484000,8067000,84138000,0,0,1568000,8288000,8804000,3017000,7577000,7799000,5552000,54415000,4149000,4598000,854000,5134000,1244000,4129000,955000,1716000,24448000,1095000,1777000,268000,2166000,490000,1840000,1021000,1096000,30000,0,0,35163000,7607000,2007000,5213000,189000,0,3105000,0,0,1377000,0,18000,498000,1277000,0,0,0
608,BARTOW COUNTY,Georgia,19,0,19,Bartow County,13015,1300330,Prekindergarten,12th Grade,13536,157930000,70238000,75777000,11915000,134294000,85193000,39215000,9886000,76259000,32459000,161861000,25379000,0,11667,5189,5598,880,6294,2897,730,5634,2398,11958,1875,0,9921,6294,24.2,63.4,7.4,56.8,29.2,7.5,44.5,48,0,59550000,14550000,45000000,0,0,16000,25777000,33153000,45083000,16748000,0,0,0,NA,1615000,0,827000,0,1441000,1000,2062000,0,0,110000,2251000,0,0,77000,0,23000,47896000,9233000,1525000,256000,5379000,2649000,544000,980000,178000,4220000,2629000,288000,0,0,3418000,2755000,4792000,365000,0,129000,250000,0,0,75000,0,131000,2742000,7144000,85193000,0,0,673000,4186000,9704000,3332000,8376000,6998000,5946000,53903000,4524000,2601000,324000,5790000,2019000,3407000,951000,2203000,23744000,980000,962000,92000,2350000,929000,1748000,366000,1244000,43000,0,0,34909000,9293000,2111000,4630000,44000,0,2188000,0,0,281000,0,159000,22812000,2127000,0,0,0
609,BEN HILL COUNTY,Georgia,4,0,4,Ben Hill County,13017,1300360,Prekindergarten,12th Grade,3175,35223000,9641000,21882000,3700000,32875000,20661000,10122000,2092000,17906000,7733000,33504000,610000,0,11094,3037,6892,1165,6507,3188,659,5640,2436,10552,192,0,10354,6507,23.5,62.8,6.4,54.5,30.8,10.5,27.4,62.1,0,840000,840000,0,0,0,0,1309000,4087000,6098000,2395000,0,0,0,NA,370000,0,0,0,39000,0,360000,60000,0,19000,256000,0,44000,0,0,0,15227000,2548000,366000,62000,1031000,774000,0,148000,53000,414000,1191000,68000,0,0,1220000,613000,1511000,97000,0,44000,65000,96000,0,12000,0,42000,74000,2018000,20661000,0,0,683000,1807000,2355000,517000,2056000,1407000,1297000,12547000,996000,1080000,353000,1248000,215000,653000,293000,509000,5654000,256000,396000,112000,512000,89000,277000,111000,325000,1000,0,0,7937000,2231000,719000,424000,80000,0,19000,0,0,0,0,0,372000,238000,0,0,0
