scode,School District Level Code (SCHLEV) [District Finance] 2017-18
747,03-Elementary/secondary school system
748,03-Elementary/secondary school system
749,03-Elementary/secondary school system
750,03-Elementary/secondary school system
751,03-Elementary/secondary school system
752,03-Elementary/secondary school system
860,07-Educational service agency
753,03-Elementary/secondary school system
754,03-Elementary/secondary school system
755,03-Elementary/secondary school system
756,03-Elementary/secondary school system
757,03-Elementary/secondary school system
758,03-Elementary/secondary school system
759,03-Elementary/secondary school system
