,school code,agency name,total operational schools,county name,highest grade taught,fall population,state revenue - lunch,expenditure - food,expenditure - textbooks,state revenue - transport,sat - district name,sat - test component,sat - state average,sat - district average,sat - score bracket,act - district name,act - state average,act - district average,act - score bracket
25,608,BARTOW COUNTY,19,Bartow County,12th Grade,13536.0,178000,7144000,44000,1525000,Bartow County,Combined Test Score,1052,1043.0,Average,Bartow County,21.0,20.3,Average
26,608,BARTOW COUNTY,19,Bartow County,12th Grade,13536.0,178000,7144000,44000,1525000,Bartow County,Combined Test Score,1052,1043.0,Average,Bartow County,21.0,20.3,Average
27,608,BARTOW COUNTY,19,Bartow County,12th Grade,13536.0,178000,7144000,44000,1525000,Bartow County,Combined Test Score,1052,1043.0,Average,Bartow County,21.0,20.3,Average
28,609,BEN HILL COUNTY,4,Ben Hill County,12th Grade,3175.0,53000,2018000,80000,366000,Ben Hill County,Combined Test Score,1052,960.0,Below Average,Ben Hill County,21.0,18.7,Below Average
29,610,BERRIEN COUNTY,5,Berrien County,12th Grade,3150.0,49000,1918000,225000,521000,Berrien County,Combined Test Score,1052,1016.0,Average,Berrien County,21.0,,0
30,610,BERRIEN COUNTY,5,Berrien County,12th Grade,3150.0,49000,1918000,225000,521000,Berrien County,Combined Test Score,1052,1016.0,Average,Berrien County,21.0,,0
31,611,BIBB COUNTY,37,Bibb County,12th Grade,24110.0,432000,18903000,633000,1815000,Bibb County,Combined Test Score,1052,913.0,Below Average,Bibb County,21.0,17.4,Below Average
32,611,BIBB COUNTY,37,Bibb County,12th Grade,24110.0,432000,18903000,633000,1815000,Bibb County,Combined Test Score,1052,913.0,Below Average,Bibb County,21.0,17.4,Below Average
33,611,BIBB COUNTY,37,Bibb County,12th Grade,24110.0,432000,18903000,633000,1815000,Bibb County,Combined Test Score,1052,913.0,Below Average,Bibb County,21.0,17.4,Below Average
34,611,BIBB COUNTY,37,Bibb County,12th Grade,24110.0,432000,18903000,633000,1815000,Bibb County,Combined Test Score,1052,913.0,Below Average,Bibb County,21.0,17.4,Below Average
35,611,BIBB COUNTY,37,Bibb County,12th Grade,24110.0,432000,18903000,633000,1815000,Bibb County,Combined Test Score,1052,913.0,Below Average,Bibb County,21.0,17.4,Below Average
36,611,BIBB COUNTY,37,Bibb County,12th Grade,24110.0,432000,18903000,633000,1815000,Bibb County,Combined Test Score,1052,913.0,Below Average,Bibb County,21.0,17.4,Below Average
37,612,BLECKLEY COUNTY,5,Bleckley County,12th Grade,2550.0,47000,1860000,2000,383000,Bleckley County,Combined Test Score,1052,1109.0,Average,Bleckley County,21.0,19.9,Average
38,613,BRANTLEY COUNTY,7,Brantley County,12th Grade,3432.0,61000,2445000,16000,586000,Brantley County,Combined Test Score,1052,1025.0,Average,Brantley County,21.0,20.8,Average
39,763,BREMEN CITY,4,Haralson County,12th Grade,2284.0,22000,881000,20000,12000,Bremen City,Combined Test Score,1052,1114.0,Average,Bremen City,21.0,21.6,Average
40,614,BROOKS COUNTY,6,Brooks County,12th Grade,2147.0,43000,1865000,2000,393000,Brooks County,Combined Test Score,1052,979.0,Below Average,Brooks County,21.0,18.1,Below Average
41,615,BRYAN COUNTY,10,Bryan County,12th Grade,9169.0,114000,4300000,62000,492000,Bryan County,Combined Test Score,1052,1084.0,Average,Bryan County,21.0,21.6,Average
42,615,BRYAN COUNTY,10,Bryan County,12th Grade,9169.0,114000,4300000,62000,492000,Bryan County,Combined Test Score,1052,1084.0,Average,Bryan County,21.0,21.6,Average
43,764,BUFORD CITY,4,Gwinnett County,12th Grade,4808.0,49000,2102000,101000,113000,Buford City,Combined Test Score,1052,1131.0,Above Average,Buford City,21.0,23.2,Above Average
44,616,BULLOCH COUNTY,15,Bulloch County,12th Grade,10609.0,141000,5958000,122000,1267000,Bulloch County,Combined Test Score,1052,1047.0,Average,Bulloch County,21.0,20.6,Average
45,616,BULLOCH COUNTY,15,Bulloch County,12th Grade,10609.0,141000,5958000,122000,1267000,Bulloch County,Combined Test Score,1052,1047.0,Average,Bulloch County,21.0,20.6,Average
46,616,BULLOCH COUNTY,15,Bulloch County,12th Grade,10609.0,141000,5958000,122000,1267000,Bulloch County,Combined Test Score,1052,1047.0,Average,Bulloch County,21.0,20.6,Average
47,617,BURKE COUNTY,5,Burke County,12th Grade,4206.0,78000,4348000,171000,919000,Burke County,Combined Test Score,1052,973.0,Below Average,Burke County,21.0,17.4,Below Average
48,618,BUTTS COUNTY,5,Butts County,12th Grade,3482.0,61000,2440000,203000,407000,Butts County,Combined Test Score,1052,991.0,Average,Butts County,21.0,17.4,Below Average
49,765,CALHOUN CITY,4,Gordon County,12th Grade,4042.0,63000,2596000,5000,94000,Calhoun City,Combined Test Score,1052,1046.0,Average,Calhoun City,21.0,20.6,Average
50,619,CALHOUN COUNTY,3,Calhoun County,12th Grade,609.0,13000,459000,32000,155000,Calhoun County,Combined Test Score,1052,907.0,Below Average,Calhoun County,21.0,,0
51,620,CAMDEN COUNTY,12,Camden County,12th Grade,9252.0,115000,4480000,491000,965000,Camden County,Combined Test Score,1052,1087.0,Average,Camden County,21.0,20.8,Average
52,621,CANDLER COUNTY,3,Candler County,12th Grade,2195.0,27000,1444000,25000,286000,Candler County,Combined Test Score,1052,1033.0,Average,Candler County,21.0,20.6,Average
53,622,CARROLL COUNTY,25,Carroll County,12th Grade,14877.0,219000,9009000,84000,1590000,Carroll County,Combined Test Score,1052,1021.0,Average,Carroll County,21.0,19.6,Average
54,622,CARROLL COUNTY,25,Carroll County,12th Grade,14877.0,219000,9009000,84000,1590000,Carroll County,Combined Test Score,1052,1021.0,Average,Carroll County,21.0,19.6,Average
55,622,CARROLL COUNTY,25,Carroll County,12th Grade,14877.0,219000,9009000,84000,1590000,Carroll County,Combined Test Score,1052,1021.0,Average,Carroll County,21.0,19.6,Average
56,622,CARROLL COUNTY,25,Carroll County,12th Grade,14877.0,219000,9009000,84000,1590000,Carroll County,Combined Test Score,1052,1021.0,Average,Carroll County,21.0,19.6,Average
57,622,CARROLL COUNTY,25,Carroll County,12th Grade,14877.0,219000,9009000,84000,1590000,Carroll County,Combined Test Score,1052,1021.0,Average,Carroll County,21.0,19.6,Average
58,766,CARROLLTON CITY,4,Carroll County,12th Grade,5119.0,64000,3300000,24000,251000,Carrollton City,Combined Test Score,1052,1056.0,Average,Carrollton City,21.0,20.7,Average
59,767,CARTERSVILLE CITY,4,Bartow County,12th Grade,4528.0,77000,3481000,442000,217000,Cartersville City,Combined Test Score,1052,1072.0,Average,Cartersville City,21.0,20.8,Average
60,623,CATOOSA COUNTY,16,Catoosa County,12th Grade,10790.0,135000,5152000,226000,842000,Catoosa County,Combined Test Score,1052,1156.0,Above Average,Catoosa County,21.0,20.4,Average
61,623,CATOOSA COUNTY,16,Catoosa County,12th Grade,10790.0,135000,5152000,226000,842000,Catoosa County,Combined Test Score,1052,1156.0,Above Average,Catoosa County,21.0,20.4,Average
62,623,CATOOSA COUNTY,16,Catoosa County,12th Grade,10790.0,135000,5152000,226000,842000,Catoosa County,Combined Test Score,1052,1156.0,Above Average,Catoosa County,21.0,20.4,Average
63,624,CHARLTON COUNTY,4,Charlton County,12th Grade,1726.0,24000,907000,6000,264000,Charlton County,Combined Test Score,1052,955.0,Below Average,Charlton County,21.0,18.8,Below Average
64,626,CHATTAHOOCHEE COUNTY,3,Chattahoochee County,12th Grade,845.0,15000,593000,2000,108000,Chattahoochee County,Combined Test Score,1052,930.0,Below Average,Chattahoochee County,21.0,20.0,Average
65,627,CHATTOOGA COUNTY,6,Chattooga County,12th Grade,2808.0,34000,1516000,2000,402000,Chattooga County,Combined Test Score,1052,1009.0,Average,Chattooga County,21.0,19.2,Average
66,628,CHEROKEE COUNTY,37,Cherokee County,12th Grade,42309.0,447000,16320000,2931000,2110000,Cherokee County,Combined Test Score,1052,1121.0,Above Average,Cherokee County,21.0,22.9,Average
67,628,CHEROKEE COUNTY,37,Cherokee County,12th Grade,42309.0,447000,16320000,2931000,2110000,Cherokee County,Combined Test Score,1052,1121.0,Above Average,Cherokee County,21.0,22.9,Average
68,628,CHEROKEE COUNTY,37,Cherokee County,12th Grade,42309.0,447000,16320000,2931000,2110000,Cherokee County,Combined Test Score,1052,1121.0,Above Average,Cherokee County,21.0,22.9,Average
69,628,CHEROKEE COUNTY,37,Cherokee County,12th Grade,42309.0,447000,16320000,2931000,2110000,Cherokee County,Combined Test Score,1052,1121.0,Above Average,Cherokee County,21.0,22.9,Average
70,628,CHEROKEE COUNTY,37,Cherokee County,12th Grade,42309.0,447000,16320000,2931000,2110000,Cherokee County,Combined Test Score,1052,1121.0,Above Average,Cherokee County,21.0,22.9,Average
71,628,CHEROKEE COUNTY,37,Cherokee County,12th Grade,42309.0,447000,16320000,2931000,2110000,Cherokee County,Combined Test Score,1052,1121.0,Above Average,Cherokee County,21.0,22.9,Average
72,628,CHEROKEE COUNTY,37,Cherokee County,12th Grade,42309.0,447000,16320000,2931000,2110000,Cherokee County,Combined Test Score,1052,1121.0,Above Average,Cherokee County,21.0,22.9,Average
73,628,CHEROKEE COUNTY,37,Cherokee County,12th Grade,42309.0,447000,16320000,2931000,2110000,Cherokee County,Combined Test Score,1052,1121.0,Above Average,Cherokee County,21.0,22.9,Average
74,769,CHICKAMAUGA CITY,3,Walker County,12th Grade,1306.0,15000,728000,1000,0,Chickamauga City,Combined Test Score,1052,1086.0,Average,Chickamauga City,21.0,20.5,Average
75,773,CITY SCHOOLS OF DECATUR,8,DeKalb County,12th Grade,5514.0,44000,2966000,50000,69000,Decatur City,Combined Test Score,1052,1162.0,Above Average,Decatur City,21.0,25.1,Above Average
