,scode,School Dist Name,Test Component,State Avg Score,Dist Avg Score,Test Score Bracket
260,682,Jenkins County,Combined Test Score,1052,952.0,Below Average
261,683,Johnson County,Combined Test Score,1052,951.0,Below Average
262,684,Jones County,Combined Test Score,1052,1034.0,Average
263,685,Lamar County,Combined Test Score,1052,996.0,Average
264,686,Lanier County,Combined Test Score,1052,986.0,Below Average
265,687,Laurens County,Combined Test Score,1052,995.0,Average
266,687,Laurens County,Combined Test Score,1052,995.0,Average
267,688,Lee County,Combined Test Score,1052,1081.0,Average
268,689,Liberty County,Combined Test Score,1052,1017.0,Average
269,689,Liberty County,Combined Test Score,1052,1017.0,Average
270,690,Lincoln County,Combined Test Score,1052,1004.0,Average
271,691,Long County,Combined Test Score,1052,963.0,Below Average
272,692,Lowndes County,Combined Test Score,1052,1053.0,Average
273,693,Lumpkin County,Combined Test Score,1052,1093.0,Average
274,694,Macon County,Combined Test Score,1052,920.0,Below Average
275,695,Madison County,Combined Test Score,1052,1048.0,Average
276,696,Marion County,Combined Test Score,1052,962.0,Below Average
277,697,McDuffie County,Combined Test Score,1052,994.0,Average
278,698,McIntosh County,Combined Test Score,1052,1004.0,Average
279,699,Meriwether County,Combined Test Score,1052,931.0,Below Average
280,699,Meriwether County,Combined Test Score,1052,931.0,Below Average
281,700,Miller County,Combined Test Score,1052,947.0,Below Average
282,701,Mitchell County,Combined Test Score,1052,995.0,Average
283,701,Mitchell County,Combined Test Score,1052,995.0,Average
284,702,Monroe County,Combined Test Score,1052,1025.0,Average
285,703,Montgomery County,Combined Test Score,1052,1002.0,Average
286,704,Morgan County,Combined Test Score,1052,1045.0,Average
287,705,Murray County,Combined Test Score,1052,997.0,Average
288,705,Murray County,Combined Test Score,1052,997.0,Average
289,705,Murray County,Combined Test Score,1052,997.0,Average
290,706,Muscogee County,Combined Test Score,1052,1054.0,Average
291,706,Muscogee County,Combined Test Score,1052,1054.0,Average
292,706,Muscogee County,Combined Test Score,1052,1054.0,Average
293,706,Muscogee County,Combined Test Score,1052,1054.0,Average
294,706,Muscogee County,Combined Test Score,1052,1054.0,Average
295,706,Muscogee County,Combined Test Score,1052,1054.0,Average
296,706,Muscogee County,Combined Test Score,1052,1054.0,Average
297,706,Muscogee County,Combined Test Score,1052,1054.0,Average
298,706,Muscogee County,Combined Test Score,1052,1054.0,Average
299,707,Newton County,Combined Test Score,1052,997.0,Average
300,707,Newton County,Combined Test Score,1052,997.0,Average
301,707,Newton County,Combined Test Score,1052,997.0,Average
302,708,Oconee County,Combined Test Score,1052,1168.0,Above Average
303,708,Oconee County,Combined Test Score,1052,1168.0,Above Average
304,709,Oglethorpe County,Combined Test Score,1052,1060.0,Average
305,710,Paulding County,Combined Test Score,1052,1044.0,Average
306,710,Paulding County,Combined Test Score,1052,1044.0,Average
307,710,Paulding County,Combined Test Score,1052,1044.0,Average
308,710,Paulding County,Combined Test Score,1052,1044.0,Average
309,710,Paulding County,Combined Test Score,1052,1044.0,Average
310,711,Peach County,Combined Test Score,1052,1000.0,Average
311,712,Pickens County,Combined Test Score,1052,1057.0,Average
312,713,Pierce County,Combined Test Score,1052,1053.0,Average
313,714,Pike County,Combined Test Score,1052,1068.0,Average
314,715,Polk County,Combined Test Score,1052,1001.0,Average
315,715,Polk County,Combined Test Score,1052,1001.0,Average
316,716,Pulaski County,Combined Test Score,1052,1071.0,Average
317,717,Putnam County,Combined Test Score,1052,1082.0,Average
318,718,Quitman County,Combined Test Score,1052,881.0,Below Average
319,719,Rabun County,Combined Test Score,1052,1041.0,Average
320,720,Randolph County,Combined Test Score,1052,861.0,Below Average
321,721,Richmond County,Combined Test Score,1052,982.0,Below Average
322,721,Richmond County,Combined Test Score,1052,982.0,Below Average
323,721,Richmond County,Combined Test Score,1052,982.0,Below Average
324,721,Richmond County,Combined Test Score,1052,982.0,Below Average
325,721,Richmond County,Combined Test Score,1052,982.0,Below Average
326,721,Richmond County,Combined Test Score,1052,982.0,Below Average
327,721,Richmond County,Combined Test Score,1052,982.0,Below Average
328,721,Richmond County,Combined Test Score,1052,982.0,Below Average
329,721,Richmond County,Combined Test Score,1052,982.0,Below Average
330,721,Richmond County,Combined Test Score,1052,982.0,Below Average
331,722,Rockdale County,Combined Test Score,1052,993.0,Average
332,722,Rockdale County,Combined Test Score,1052,993.0,Average
333,722,Rockdale County,Combined Test Score,1052,993.0,Average
334,722,Rockdale County,Combined Test Score,1052,993.0,Average
335,723,Schley County,Combined Test Score,1052,1020.0,Average
336,724,Screven County,Combined Test Score,1052,1006.0,Average
337,725,Seminole County,Combined Test Score,1052,979.0,Below Average
338,726,Griffin-Spalding County,Combined Test Score,1052,972.0,Below Average
339,726,Griffin-Spalding County,Combined Test Score,1052,972.0,Below Average
340,726,Griffin-Spalding County,Combined Test Score,1052,972.0,Below Average
341,727,Stephens County,Combined Test Score,1052,1045.0,Average
