State Agency ID [District] 2017-18,Agency Name,State Name [District] Latest available year,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2017-18,Individualized Education Program Students [District] 2017-18,Direct Certification [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [District] 2017-18,Grades 9-12 Students [District] 2017-18,Female Students [District] 2017-18,Male Students [District] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [District] 2017-18,Asian or Asian/Pacific Islander Students [District] 2017-18,Hispanic Students [District] 2017-18,Black Students [District] 2017-18,White Students [District] 2017-18,Hawaiian Nat./Pacific Isl. Students [District] 2017-18,Two or More Races Students [District] 2017-18,Total Race/Ethnicity [District] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black Students [Public School] 2017-18,White Students [Public School] 2017-18,Hawaiian Nat./Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,State Name [District] 2017-18,Agency Name [District] 2017-18,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2017-18,County Number [District] 2017-18,Lowest Grade Offered [District] 2017-18,Highest Grade Offered [District] 2017-18,Agency Type [District] 2017-18,School District Level Code (SCHLEV) [District Finance] 2017-18,Full-Time Equivalent (FTE) Teachers [District] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [District] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18,Total Staff [District] 2017-18,Instructional Aides [District] 2017-18,Instructional Coordinators [District] 2017-18,Elementary Guidance Counselors [District] 2017-18,Secondary Guidance Counselors [District] 2017-18,Other Guidance Counselors [District] 2017-18,Total Guidance Counselors [District] 2017-18,Librarians/Media Specialists [District] 2017-18,Library Media Support Staff [District] 2017-18,LEA Administrators [District] 2017-18,LEA Administrative Support Staff [District] 2017-18,School Administrators [District] 2017-18,School Administrative Support Staff [District] 2017-18,Student Support Services Staff [District] 2017-18,Other Support Services Staff [District] 2017-18,"Total Students, All Grades (Excludes AE) [District] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2017-18",Metro Micro Area Code [District] 2017-18,Urban-centric Locale [District] 2017-18,ANSI/FIPS State Code [District] Latest available year,CBSA ID [District] 2017-18,CSA ID [District] 2017-18,Supervisory Union (ID) Number [District] 2017-18,Congressional Code [District] 2017-18,Census ID (CENSUSID) [District Finance] 2017-18,LEA Charter Status [District] 2017-18,Agency Charter Status [District] 2017-18
626,CHATTAHOOCHEE COUNTY,Georgia,12,128,209,530,80,610,364,422,382,463,463,382,2,4,86,231,463,7,52,845,4,2,86,231,463,7,52,845,GEORGIA,Chattahoochee County,1301050,Chattahoochee County,13053,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,55.5,55.5,15.23,15.23,154,24.5,1.5,1,1,0,2,1,0,5,2,5,7,6,44.5,845,845,1-Metropolitan Area,42-Rural: Distant,13,17980,194,    ,1302,11502600100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
872,CHATTAHOOCHEE-FLINT RESA,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA,Chattahoochee-Flint RESA,1300016,Schley County,13249,NA,NA,4-Regional Education Service Agency (RESA),07-Educational service agency,0,NA,NA,NA,41.9,11.6,15,0,0,0,0,0,0,1.5,1,0,4,6.8,2,NA,NA,2-Micropolitan Area,42-Rural: Distant,13,11140,NA,    ,1302,11512940100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,NA
627,CHATTOOGA COUNTY,Georgia,41,520,1126,1961,261,2222,1678,806,1357,1451,1451,1357,2,5,178,248,2216,1,158,2808,5,2,178,248,2216,1,158,2808,GEORGIA,Chattooga County,1301080,Chattooga County,13055,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,186.7,183.7,15.04,15.29,331.9,0,9,2,2,0,4,5,0,8,4,11.5,19.5,16,68.2,2808,2808,2-Micropolitan Area,41-Rural: Fringe,13,44900,470,    ,1314,11502700100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
628,CHEROKEE COUNTY,Georgia,2691,5187,5410,10885,1712,12597,25525,13357,20426,21883,21883,20426,65,797,7721,3184,28891,33,1618,42309,797,65,7721,3184,28891,33,1618,42309,GEORGIA,Cherokee County,1301110,Cherokee County,13057,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,2704.1,2616.3,15.65,16.17,4801.5,349,89,39,49,0,88,41,3,41.4,64,126,180,231,885,42309,42309,1-Metropolitan Area,21-Suburb: Large,13,12060,122,    ,1311,11502800200000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
769,CHICKAMAUGA CITY,Georgia,5,95,95,236,69,305,769,436,646,660,660,646,0,8,27,2,1247,0,22,1306,8,0,27,2,1247,0,22,1306,GEORGIA,Chickamauga City,1301140,Walker County,13295,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,79.9,79.9,16.35,16.35,154.5,11,0,1,2,0,3,2,2,4.2,2.5,4.9,8.5,8,28.5,1306,1306,1-Metropolitan Area,21-Suburb: Large,13,16860,174,    ,1314,11514600100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
773,CITY SCHOOLS OF DECATUR,Georgia,83,448,495,640,90,730,3542,1339,2713,2801,2801,2713,11,176,240,1160,3529,6,392,5514,176,11,240,1160,3529,6,392,5514,GEORGIA,City Schools of Decatur,1301680,DeKalb County,13089,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,387.4,374.6,14.23,14.72,737.2,100.9,7.5,6,5,0,11,7.5,8,22.4,12,16.4,17,21.9,125.2,5514,5514,1-Metropolitan Area,21-Suburb: Large,13,12060,122,    ,1305,11504400100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
629,CLARKE COUNTY,Georgia,1385,1858,5472,12519,0,12519,8302,3247,6566,7034,7034,6566,13,241,3334,6698,2755,17,542,13600,241,13,3334,6698,2755,17,542,13600,GEORGIA,Clarke County,1301170,Clarke County,13059,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,1140.5,1085.5,11.92,12.53,2220.8,222.6,14.8,15,15.5,0,30.5,22,1,21,32,59,62,95.4,520,13600,13600,1-Metropolitan Area,12-City: Mid-size,13,12020,122,    ,1310,11502900200000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
630,CLAY COUNTY,Georgia,3,33,140,232,0,232,190,NA,113,127,127,113,2,0,1,229,4,0,4,240,0,2,1,229,4,0,4,240,GEORGIA,Clay County,1301200,Clay County,13061,Prekindergarten,8th Grade,1-Regular local school district that is NOT a component of a supervisory union,01-Elementary school system only,21.5,21.5,11.16,11.16,59.2,7,1.3,1,0,0,1,0.6,0,1.8,3,3,3,2.5,14.5,240,240,0-New England (NECTA) or not reported,43-Rural: Remote,13,NA,NA,    ,1302,11503000100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
631,CLAYTON COUNTY,Georgia,5255,6018,26288,54245,0,54245,34664,15055,26960,27570,27570,26960,110,2094,11857,37852,1181,44,1392,54530,2094,110,11857,37852,1181,44,1392,54530,GEORGIA,Clayton County,1301230,Clayton County,13063,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,3421,3361,15.94,16.22,6984.5,677.5,143,39.5,61.5,0,101,62,12,70,92.5,172,224,357,1652.5,54530,54530,1-Metropolitan Area,21-Suburb: Large,13,12060,122,    ,1313,11503100100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
632,CLINCH COUNTY,Georgia,9,167,538,1162,35,1197,817,391,661,744,744,661,7,5,62,486,769,0,76,1405,5,7,62,486,769,0,76,1405,GEORGIA,Clinch County,1301260,Clinch County,13065,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,87.2,82.4,16.11,17.05,187.3,30.3,1.5,0.5,1.5,0,2,1.5,1,4.5,2.3,5.5,10.8,7.9,32.8,1405,1405,0-New England (NECTA) or not reported,41-Rural: Fringe,13,NA,NA,    ,1301,11503200100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
886,COASTAL PLAINS RESA,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA,Coastal Plains RESA,1300020,Cook County,13075,NA,NA,4-Regional Education Service Agency (RESA),07-Educational service agency,0,NA,NA,NA,17.5,0,0,0,0,0,0,0,0,2.5,5,0,0,0,10,NA,NA,0-New England (NECTA) or not reported,42-Rural: Distant,13,NA,NA,    ,1308,11509240100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,NA
633,COBB COUNTY,Georgia,10307,14931,14892,40478,7034,47512,67816,35497,54893,57191,57191,54893,222,6266,24316,34768,42232,78,4202,112084,6266,222,24316,34768,42232,78,4202,112084,GEORGIA,Cobb County,1301290,Cobb County,13067,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,7270.3,7207.4,15.42,15.55,13596.8,1297.8,288.4,125,141.5,0,266.5,119,86.8,75,229.6,366.5,518,556.7,2522.2,112084,112084,1-Metropolitan Area,21-Suburb: Large,13,12060,122,    ,1311,11503300100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,2-All associated schools are charter and noncharter
634,COFFEE COUNTY,Georgia,477,729,3517,6564,0,6564,4625,2047,3803,3910,3910,3803,17,58,1490,2362,3578,0,208,7713,58,17,1490,2362,3578,0,208,7713,GEORGIA,Coffee County,1301350,Coffee County,13069,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,492.7,486.7,15.65,15.85,1018.9,129.7,12.9,8,7,0,15,10.8,8,11.9,10,34,47.5,46.4,200,7713,7713,2-Micropolitan Area,41-Rural: Fringe,13,20060,NA,    ,1312,11503400100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
635,COLQUITT COUNTY,Georgia,1375,1110,4225,9162,0,9162,5852,2489,4578,5064,5064,4578,8,104,2814,2522,3943,4,247,9642,104,8,2814,2522,3943,4,247,9642,GEORGIA,Colquitt County,1301380,Colquitt County,13071,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,660.7,660.8,14.59,14.59,1381.3,239.4,16.5,9,10.2,0,19.2,13,6.5,15.5,8.6,36,58.6,50.7,256.6,9642,9642,2-Micropolitan Area,41-Rural: Fringe,13,34220,NA,    ,1308,11503500100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
636,COLUMBIA COUNTY,Georgia,501,2393,3314,7010,1916,8926,16584,8214,13320,13797,13797,13320,62,1071,2757,5495,15916,74,1742,27117,1071,62,2757,5495,15916,74,1742,27117,GEORGIA,Columbia County,1301410,Columbia County,13073,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,1636.3,1628.2,16.57,16.65,3293.6,402,43.9,22,35.6,0,57.6,30.1,33,18,32,80,128.5,98.9,733.3,27117,27117,1-Metropolitan Area,21-Suburb: Large,13,12260,NA,    ,1312,11503600100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
771,COMMERCE CITY,Georgia,94,194,155,813,112,925,966,479,791,849,849,791,1,16,208,170,1143,0,102,1640,16,1,208,170,1143,0,102,1640,GEORGIA,Commerce City,1301440,Jackson County,13157,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,115,115.1,14.26,14.25,206.7,24.7,1,1,2,0,3,3,2,5.2,1.8,6.3,8,6.3,30.4,1640,1640,2-Micropolitan Area,32-Town: Distant,13,27600,122,    ,1309,11507800100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
7830410,COMMISSION CHARTER SCHOOLS- ATLANTA HEIGHTS CHARTER SCHOOL,Georgia,12,64,3,645,46,691,657,NA,381,368,368,381,3,0,18,724,1,1,2,749,0,3,18,724,1,1,2,749,GEORGIA,Commission Charter Schools- Atlanta Heights Charter School,1300221,Fulton County,13121,Kindergarten,8th Grade,7-Independent Charter District,01-Elementary school system only,34,34,22.03,22.03,57.5,12.4,3.6,0,0,0,0,1,0,0.1,0,0.9,2,1,2.5,749,749,1-Metropolitan Area,11-City: Large,13,12060,122,    ,1305,NA,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1-All associated schools are charter schools
7830613,COMMISSION CHARTER SCHOOLS- BROOKHAVEN INNOVATION ACADEMY,GEORGIA,49,45,3,49,0,49,421,NA,214,266,266,214,0,21,86,114,220,0,39,480,21,0,86,114,220,0,39,480,GEORGIA,Commission Charter Schools- Brookhaven Innovation Academy,1300242,Gwinnett County,13135,Kindergarten,7th Grade,7-Independent Charter District,01-Elementary school system only,31,31,15.48,15.48,45,4,0,0,0,0,0,0,0,2.5,1,1.5,1,3,1,480,480,1-Metropolitan Area,21-Suburb: Large,13,12060,122,    ,1307,NA,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1-All associated schools are charter schools
7830103,COMMISSION CHARTER SCHOOLS- CCAT SCHOOL,Georgia,26,25,3,52,41,93,80,80,74,86,86,74,0,2,6,35,114,0,3,160,2,0,6,35,114,0,3,160,GEORGIA,Commission Charter Schools- CCAT School,1300005,Bulloch County,13031,6th Grade,12th Grade,7-Independent Charter District,03-Elementary/secondary school system,15.5,15.5,10.32,10.32,25.5,1,0,0,0,0,0,0,0,1,0,1.5,2,0,4.5,160,160,2-Micropolitan Area,32-Town: Distant,13,44340,496,    ,1312,NA,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1-All associated schools are charter schools
7830611,COMMISSION CHARTER SCHOOLS- CIRRUS CHARTER ACADEMY,GEORGIA,miss,21,294,438,0,438,389,NA,231,207,207,231,0,0,3,414,15,1,5,438,0,0,3,414,15,1,5,438,GEORGIA,Commission Charter Schools- Cirrus Charter Academy,1300239,Bibb County,13021,Kindergarten,8th Grade,7-Independent Charter District,01-Elementary school system only,28,28,15.64,15.64,41.1,3,2,0.5,0.5,0,1,0,0,1.3,0.8,0.5,2,0.5,2,438,438,1-Metropolitan Area,12-City: Mid-size,13,31420,356,    ,1302,NA,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1-All associated schools are charter schools
7830610,COMMISSION CHARTER SCHOOLS- COWETA CHARTER ACADEMY,Georgia,3,70,26,101,30,131,621,NA,368,356,356,368,4,9,18,105,541,7,40,724,9,4,18,105,541,7,40,724,GEORGIA,Commission Charter Schools- Coweta Charter Academy,1300222,Coweta County,13077,Kindergarten,8th Grade,7-Independent Charter District,01-Elementary school system only,49,49,14.78,14.78,77,10,2,0,0,0,0,0,0,1.5,1,1.5,2,1,9,724,724,1-Metropolitan Area,41-Rural: Fringe,13,12060,122,    ,1303,NA,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1-All associated schools are charter schools
7830310,COMMISSION CHARTER SCHOOLS- FULTON LEADERSHIP ACADEMY,Georgia,miss,50,91,173,42,215,247,107,0,354,354,0,1,1,7,345,0,0,0,354,1,1,7,345,0,0,0,354,GEORGIA,Commission Charter Schools- Fulton Leadership Academy,1300217,Fulton County,13121,6th Grade,12th Grade,7-Independent Charter District,03-Elementary/secondary school system,29.9,29.9,11.84,11.84,48,2.1,0,0,0.5,0,0.5,0,0,3.6,3,0.9,2.8,1.2,4,354,354,1-Metropolitan Area,21-Suburb: Large,13,12060,122,    ,1305,NA,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1-All associated schools are charter schools
7830110,COMMISSION CHARTER SCHOOLS- IVY PREPARATORY ACADEMY SCHOOL,Georgia,3,10,14,40,7,47,106,NA,106,0,0,106,1,3,21,79,1,0,1,106,3,1,21,79,1,0,1,106,GEORGIA,Commission Charter Schools- Ivy Preparatory Academy School,1300215,Gwinnett County,13135,6th Grade,8th Grade,7-Independent Charter District,01-Elementary school system only,11,11,9.64,9.64,28.9,0,2,0,1,0,1,0,0,3.5,1.5,1,1.5,2.4,5,106,106,1-Metropolitan Area,21-Suburb: Large,13,12060,122,    ,1307,NA,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1-All associated schools are charter schools
7830614,COMMISSION CHARTER SCHOOLS- LIBERTY TECH CHARTER ACADEMY,GEORGIA,miss,34,3,58,10,68,376,NA,223,192,192,223,0,6,27,111,258,1,12,415,6,0,27,111,258,1,12,415,GEORGIA,Commission Charter Schools- Liberty Tech Charter Academy,1300241,Fayette County,13113,Kindergarten,8th Grade,7-Independent Charter District,01-Elementary school system only,30.2,30.2,13.74,13.74,44.1,4,0.8,0.5,0.5,0,1,0,0,1.4,0,1.6,2.3,0.3,2.5,415,415,1-Metropolitan Area,41-Rural: Fringe,13,12060,122,    ,1303,NA,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1-All associated schools are charter schools
7830210,COMMISSION CHARTER SCHOOLS- PATAULA CHARTER ACADEMY,Georgia,4,50,3,306,51,357,350,161,271,284,284,271,0,11,28,117,386,0,13,555,11,0,28,117,386,0,13,555,GEORGIA,Commission Charter Schools- Pataula Charter Academy,1300218,Calhoun County,13037,Kindergarten,12th Grade,7-Independent Charter District,03-Elementary/secondary school system,34.6,34.6,16.04,16.04,72.1,11,2.5,0,0,0,0,1,0,4,0,1,3,0,15,555,555,0-New England (NECTA) or not reported,43-Rural: Remote,13,NA,NA,    ,1302,NA,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1-All associated schools are charter schools
7830612,COMMISSION CHARTER SCHOOLS- SOUTHWEST GEORGIA S.T.E.M. CHART,GEORGIA,3,23,84,111,24,135,161,NA,112,91,91,112,0,0,17,29,154,0,3,203,0,0,17,29,154,0,3,203,GEORGIA,Commission Charter Schools- Southwest Georgia S.T.E.M. Chart,1300243,Randolph County,13243,Prekindergarten,7th Grade,7-Independent Charter District,01-Elementary school system only,13.8,13.8,14.71,14.71,27.1,3.6,1,0.1,0.1,0,0.2,0,0,1.2,0,1.2,1,0,5.1,203,203,0-New England (NECTA) or not reported,42-Rural: Distant,13,NA,NA,    ,1302,NA,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1-All associated schools are charter schools
637,COOK COUNTY,Georgia,123,413,1311,2525,56,2581,1928,909,1563,1646,1646,1563,4,41,321,1063,1672,3,105,3209,41,4,321,1063,1672,3,105,3209,GEORGIA,Cook County,1301470,Cook County,13075,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,217.5,217.5,14.75,14.75,464.4,52.9,1.2,2,2.9,0,4.9,4,2,8.7,4.2,9,20.7,23.5,115.8,3209,3209,0-New England (NECTA) or not reported,41-Rural: Fringe,13,NA,NA,    ,1308,11503700100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
638,COWETA COUNTY,Georgia,505,2383,4867,7824,1492,9316,13402,7241,11165,11645,11645,11165,89,483,2253,5152,13836,10,987,22810,483,89,2253,5152,13836,10,987,22810,GEORGIA,Coweta County,1301500,Coweta County,13077,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,1463.7,1422.8,15.58,16.03,2971.7,326.8,27,21,29.6,0,50.6,32,0,14.5,27,84.5,133,81.6,731,22810,22810,1-Metropolitan Area,21-Suburb: Large,13,12060,122,    ,1303,11503800100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
639,CRAWFORD COUNTY,Georgia,21,257,708,1604,0,1604,1045,470,832,873,873,832,12,8,44,367,1204,0,70,1705,8,12,44,367,1204,0,70,1705,GEORGIA,Crawford County,1301530,Crawford County,13079,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,108.9,103.9,15.66,16.41,252.2,25.9,4.8,1,2,0,3,3,1,4.3,3.5,6,7.5,10,74.3,1705,1705,1-Metropolitan Area,42-Rural: Distant,13,31420,356,    ,1302,11503900100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
640,CRISP COUNTY,Georgia,78,509,2182,3975,0,3975,2440,1107,2024,2058,2058,2024,8,64,206,2348,1346,0,110,4082,64,8,206,2348,1346,0,110,4082,GEORGIA,Crisp County,1301560,Crisp County,13081,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,263.5,257.4,15.49,15.86,607.5,88.6,8.8,3,3,0,6,4,9,9.6,6,14.5,26,23,148.5,4082,4082,2-Micropolitan Area,41-Rural: Fringe,13,18380,NA,    ,1302,11504000200000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
641,DADE COUNTY,Georgia,9,375,556,976,241,1217,1266,572,1059,1086,1086,1059,7,21,46,15,2014,0,42,2145,21,7,46,15,2014,0,42,2145,GEORGIA,Dade County,1301590,Dade County,13083,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,150,149.9,14.3,14.31,307.6,39.5,3.7,2.5,3,0,5.5,4,0,6,3,8.8,11,12.8,63.3,2145,2145,1-Metropolitan Area,31-Town: Fringe,13,16860,174,    ,1314,11504100100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
772,DALTON PUBLIC SCHOOLS,Georgia,1389,727,2286,4950,787,5737,4698,2268,3909,3990,3990,3909,27,161,5532,363,1614,1,201,7899,161,27,5532,363,1614,1,201,7899,GEORGIA,Dalton Public Schools,1301620,Whitfield County,13313,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,556.8,556.9,14.19,14.18,990.2,121.9,14.4,6,9,0,15,12,5,14,10,26,32.5,44.3,138.3,7899,7899,1-Metropolitan Area,13-City: Small,13,19140,174,    ,1314,11515500100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
642,DAWSON COUNTY,Georgia,100,545,445,1193,334,1527,2112,1047,1692,1824,1824,1692,11,22,329,21,3075,0,58,3516,22,11,329,21,3075,0,58,3516,GEORGIA,Dawson County,1301650,Dawson County,13085,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,238.1,235.1,14.77,14.96,522.5,54.6,1.8,4,5,0,9,7,6,11.1,8,22.9,20.5,21,122.5,3516,3516,1-Metropolitan Area,41-Rural: Fringe,13,12060,122,    ,1309,11504200100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
643,DECATUR COUNTY,Georgia,189,547,2586,4890,0,4890,2990,1539,2533,2651,2651,2533,2,22,554,2597,1872,3,134,5184,22,2,554,2597,1872,3,134,5184,GEORGIA,Decatur County,1301710,Decatur County,13087,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,322.5,322.5,16.07,16.07,754.4,105,3,6,8,0,14,6.8,9,7.5,7.4,24.4,31,20,203.8,5184,5184,2-Micropolitan Area,32-Town: Distant,13,12460,533,    ,1302,11504300100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
644,DEKALB COUNTY,Georgia,14162,10251,37604,69179,3134,72313,61737,27757,48732,51412,51412,48732,309,6688,17917,61861,11252,112,2005,100144,6688,309,17917,61861,11252,112,2005,100144,GEORGIA,DeKalb County,1301740,DeKalb County,13089,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,7090,7000.8,14.12,14.3,13993.6,1492.4,257,129.5,145.7,0,275.2,127.4,26.4,89.4,150.1,404.8,496.4,520.9,3063.6,100144,100144,1-Metropolitan Area,21-Suburb: Large,13,12060,122,    ,1304,11504400200000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,2-All associated schools are charter and noncharter
890,DEPARTMENT OF CORRECTIONS,Georgia,NA,NA,miss,miss,miss,miss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,GEORGIA,Department of Corrections,1300025,Fulton County,13121,NA,NA,5-State agency providing elementary and/or secondary level instruction,NA,NA,miss,NA,NA,miss,miss,miss,NA,NA,NA,NA,miss,miss,miss,miss,miss,miss,miss,miss,NA,NA,1-Metropolitan Area,32-Town: Distant,13,12060,122,    ,1305,NA,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
892,DEPARTMENT OF HUMAN RESOURCES,Georgia,NA,NA,miss,miss,miss,miss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,GEORGIA,Department of Human Resources,1300027,Fulton County,13121,NA,NA,5-State agency providing elementary and/or secondary level instruction,NA,NA,miss,NA,NA,miss,miss,miss,NA,NA,NA,NA,miss,miss,miss,miss,miss,miss,miss,miss,NA,NA,1-Metropolitan Area,11-City: Large,13,12060,122,    ,1305,NA,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
891,DEPARTMENT OF JUVENILE JUSTICE,Georgia,miss,266,45,miss,miss,45,68,436,49,455,455,49,1,4,26,389,77,4,3,504,4,1,26,389,77,4,3,504,GEORGIA,Department of Juvenile Justice,1300026,DeKalb County,13089,6th Grade,12th Grade,5-State agency providing elementary and/or secondary level instruction,03-Elementary/secondary school system,53.7,NA,9.39,9.39,121,5,3,0,8,0,8,0,0,15,5,7.3,1,2,21,504,504,1-Metropolitan Area,21-Suburb: Large,13,12060,122,    ,1304,NA,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
896,DEPARTMENT OF LABOR,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA,Department of Labor,1300028,Fulton County,13121,NA,NA,5-State agency providing elementary and/or secondary level instruction,NA,NA,NA,NA,NA,miss,miss,miss,NA,NA,NA,NA,miss,miss,miss,miss,miss,miss,miss,miss,NA,NA,1-Metropolitan Area,11-City: Large,13,12060,122,    ,1305,NA,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,NA
