Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2015 Data Report
 
System ID, System Name,School ID - School Name,KK-12 % FRL
601,Appling County, 0277 - Appling County Primary School,80.43
601,Appling County, 0195 - Appling County Middle School,65.11
601,Appling County, 0177 - Appling County Elementary School,75.98
601,Appling County, 5050 - Fourth District Elementary School,65.13
601,Appling County, 1050 - Altamaha Elementary School,60.59
601,Appling County, 0103 - Appling County High School,59.02
602,Atkinson County, 0187 - Willacoochee Elementary School,*
602,Atkinson County, 0103 - Atkinson County High School,80
602,Atkinson County, 0111 - Atkinson County Middle School,85.75
602,Atkinson County, 0190 - Pearson Elementary School,94.22
761,Atlanta Public Schools, 5567 - Toomer Elementary School,69.18
761,Atlanta Public Schools, 0605 - KIPP West Atlanta Young Scholars Academy,*
761,Atlanta Public Schools, 3057 - Continental Colony Elementary School,*
761,Atlanta Public Schools, 3059 - Fain Elementary School,*
761,Atlanta Public Schools, 3065 - Peyton Forest Elementary School,*
761,Atlanta Public Schools, 3067 - Sutton Middle School,42.06
761,Atlanta Public Schools, 0192 - North Atlanta High School,38.38
761,Atlanta Public Schools, 0196 - Cascade Elementary School,*
761,Atlanta Public Schools, 0199 - Centennial Academy,67.98
761,Atlanta Public Schools, 0201 - Charles R. Drew Charter School,51.63
761,Atlanta Public Schools, 0206 - Atlanta Neighborhood Charter - Middle,27.66
761,Atlanta Public Schools, 0207 - Hillside Conant School,*
761,Atlanta Public Schools, 0296 - Perkerson Elementary School,*
761,Atlanta Public Schools, 0303 - Bolton Academy,59.82
761,Atlanta Public Schools, 0282 - Young Middle School,*
761,Atlanta Public Schools, 0288 - Price Middle School,*
761,Atlanta Public Schools, 3559 - Fickett Elementary School,*
761,Atlanta Public Schools, 4058 - Douglass High School,*
761,Atlanta Public Schools, 4063 - M. A. Jones Elementary School,*
761,Atlanta Public Schools, 4066 - Slater Elementary School,*
761,Atlanta Public Schools, 4560 - Grady High School,36.91
761,Atlanta Public Schools, 3566 - Scott Elementary School,*
761,Atlanta Public Schools, 3569 - Whitefoord Elementary School,*
761,Atlanta Public Schools, 4056 - Cleveland Elementary School,*
761,Atlanta Public Schools, 0116 - Springdale Park Elementary School,13.15
761,Atlanta Public Schools, 0708 - Therrell School of Health and Science - C,*
761,Atlanta Public Schools, 0413 - Adamsville Primary School,*
761,Atlanta Public Schools, 0120 - Coretta Scott King Young Women's Academy Middle School - C,*
761,Atlanta Public Schools, 0213 - KIPP Strive Primary,*
761,Atlanta Public Schools, 0315 - Booker T. Washington High School,*
761,Atlanta Public Schools, 0415 - Atlanta Classical Academy,6.79
761,Atlanta Public Schools, 0121 - Old Coretta Scott King Young Women's Academy High School,*
761,Atlanta Public Schools, 0122 - KIPP VISION,*
761,Atlanta Public Schools, 0123 - Kindezi,70.09
761,Atlanta Public Schools, 0124 - Intown Charter Academy,*
761,Atlanta Public Schools, 0215 - Kipp WAYS Primary School,83.5
761,Atlanta Public Schools, 0313 - Latin Academy Charter School,*
761,Atlanta Public Schools, 0513 - Miles Elementary School,*
761,Atlanta Public Schools, 0613 - Woodson Primary School,*
761,Atlanta Public Schools, 0713 - Grove Park Intermediate School,*
761,Atlanta Public Schools, 0115 - Kipp Strive Academy,77.61
761,Atlanta Public Schools, 0214 - KIPP Vision Primary,*
761,Atlanta Public Schools, 0314 - Westside Atlanta Charter School,45.06
761,Atlanta Public Schools, 0118 - The Best Academy High School at Benjamin S. Carson,*
761,Atlanta Public Schools, 1208 - Wesley International Academy Charter Facility,55.7
761,Atlanta Public Schools, 0408 - South Atlanta School of Computer Animation and Design,*
761,Atlanta Public Schools, 0608 - Therrell School of Engineering  Math  and Science - C,*
761,Atlanta Public Schools, 0508 - Therrell School of Law  Government and Public Policy - C,*
761,Atlanta Public Schools, 5066 - Barack and Michelle Obama Academy,*
761,Atlanta Public Schools, 5067 - Thomasville Heights Elementary School,*
761,Atlanta Public Schools, 5558 - Dunbar Elementary School,*
761,Atlanta Public Schools, 5562 - Humphries Elementary School,*
