"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Reading",1914817,45076,268,126,21.3,21.7,20.2,20.8
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Science",1914817,45077,268,126,20.7,21,20,20.7
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Writing Subscore",903603,14029,100,43,6.5,6.9,6.4,6.6
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Composite",1914817,45081,312,81,20.8,21,20.3,19.5
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","English",1914817,45077,312,81,20.2,20.4,19.7,18.8
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Mathematics",1914817,45080,312,81,20.5,20.4,19.3,19
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Reading",1914817,45076,312,81,21.3,21.7,21.1,19.9
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Science",1914817,45077,312,81,20.7,21,20.5,19.6
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Writing Subscore",903603,14029,77,18,6.5,6.9,6.6,6.6
"2017-18","608","Bartow County","0114","Cass High School","All Students","Composite",1914817,45081,312,125,20.8,21,20.3,20.1
"2017-18","608","Bartow County","0114","Cass High School","All Students","English",1914817,45077,312,125,20.2,20.4,19.7,19.4
"2017-18","608","Bartow County","0114","Cass High School","All Students","Mathematics",1914817,45080,312,125,20.5,20.4,19.3,19
"2017-18","608","Bartow County","0114","Cass High School","All Students","Reading",1914817,45076,312,125,21.3,21.7,21.1,21.2
"2017-18","608","Bartow County","0114","Cass High School","All Students","Science",1914817,45077,312,125,20.7,21,20.5,20.2
"2017-18","608","Bartow County","0114","Cass High School","All Students","Writing Subscore",903603,14029,77,28,6.5,6.9,6.6,6.3
"2017-18","608","Bartow County","0198","Woodland High School","All Students","Composite",1914817,45081,312,106,20.8,21,20.3,21.1
