LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2018-19,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Male,112,50.5
2018-19,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Female,110,49.5
2018-19,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Total,222,100
2018-19,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Black,54,24.3
2018-19,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,White,133,59.9
2018-19,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Hispanic,29,13.1
2018-19,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Asian,1,0.5
2018-19,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Multi,5,2.3
2018-19,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,0,0
2018-19,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2018-19,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2018-19,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2018-19,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2018-19,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2018-19,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2018-19,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2018-19,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2018-19,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2018-19,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2018-19,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2018-19,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2018-19,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2018-19,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,White,,
2018-19,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2018-19,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2018-19,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2018-19,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2018-19,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2018-19,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2018-19,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2018-19,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2018-19,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,White,,
2018-19,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2018-19,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2018-19,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
