LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2017-18,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2017-18,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2017-18,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,White,,
2017-18,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2017-18,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2017-18,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2017-18,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2017-18,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Male,,
2017-18,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Female,,
2017-18,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Total,,
2017-18,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Black,,
2017-18,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,White,,
2017-18,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Hispanic,,
2017-18,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Asian,,
2017-18,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Multi,,
2017-18,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2017-18,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Male,,
2017-18,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Female,,
2017-18,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Total,,
2017-18,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Black,,
2017-18,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,White,,
2017-18,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Hispanic,,
2017-18,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Asian,,
2017-18,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Multi,,
2017-18,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2017-18,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Male,54,54
2017-18,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Female,46,46
2017-18,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Total,100,100
2017-18,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Black,22,22
2017-18,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,White,41,41
2017-18,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Hispanic,35,35
2017-18,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Asian,0,0
2017-18,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Multi,2,2
2017-18,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,0,0
