LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Reading,1782820,32390,218,87,21.2,21.3,19.7,19.6
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Science,1782820,32389,218,87,20.6,20.4,19.1,18.8
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Writing Subscore,788161,7605,67,29,6.5,6.7,6.7,6.4
2018-19,608,Bartow County,105,Adairsville High School,All Students,Composite,1782820,32389,236,42,20.7,20.4,20,19.8
2018-19,608,Bartow County,105,Adairsville High School,All Students,English,1782820,32388,236,42,20.1,19.8,19.4,18.7
2018-19,608,Bartow County,105,Adairsville High School,All Students,Mathematics,1782820,32391,236,42,20.4,19.8,18.9,18.9
2018-19,608,Bartow County,105,Adairsville High School,All Students,Reading,1782820,32390,236,42,21.2,21.3,21.1,21.2
2018-19,608,Bartow County,105,Adairsville High School,All Students,Science,1782820,32389,236,42,20.6,20.4,20.1,20.1
2018-19,608,Bartow County,105,Adairsville High School,All Students,Writing Subscore,788161,7605,38,7,6.5,6.7,6.6,
2018-19,608,Bartow County,114,Cass High School,All Students,Composite,1782820,32389,236,111,20.7,20.4,20,20
2018-19,608,Bartow County,114,Cass High School,All Students,English,1782820,32388,236,111,20.1,19.8,19.4,19.4
2018-19,608,Bartow County,114,Cass High School,All Students,Mathematics,1782820,32391,236,111,20.4,19.8,18.9,19
2018-19,608,Bartow County,114,Cass High School,All Students,Reading,1782820,32390,236,111,21.2,21.3,21.1,21
